TotalCheckouts|Title|CallNumber|Author|OwningLibrary|Publisher|CopyrightDate|DateLastBorrowed|itype|ItemCode
7|Great gardens of England gardeners views|DVD-ED 712.0941 GRE828|NULL|GRA|NULL|2007|2020-02-03 11:34:40|NULL|NULL
5|Did I ever tell you how lucky you are?|E SEUSS|Seuss, Dr.|SNO|NULL|1973|2020-02-11 09:47:05|Easy|NULL
2|Home by nightfall|FIC FINCH|Finch, Charles (Charles B.), author.|COU|Minotaur Books,|2015|2019-11-04 15:51:45|Fiction Mystery|Book
1|Monster school|J 811.6 COOMBS|Coombs, Kate, author.|ARL|Chronicle Books,|2018|2019-12-13 15:20:32|Juvenile Nonfiction|NULL
1|Carrera's Bride|eBOOK OVERDRI|Palmer, Diana.|PUBLIC|NULL|2008|2020-02-11 22:20:26|Ebook|NULL
5|The Dark Lake|eAUDIO OVERDRI|Bailey, Sarah.|PUBLIC|NULL|2017|2020-02-12 01:49:28|Ebook|Electronic Resource
1|Ryan respects|E KROLL|Kroll, Virginia L.|MTL|NULL|2006|2019-08-21 09:11:05|Easy|NULL
4|Days and nights|DVD DAYS AN|NULL|SUL|IFC Films|2015|2019-12-16 11:15:06|NULL|NULL
7|Eternals|FIC GAIMAN|Gaiman, Neil, author.|MUK|Marvel Worldwide, Inc.,|2018|2020-01-21 17:09:14|NULL|NULL
1|The long drop : a novel|FIC MINA|Mina, Denise, author.|MON|Little, Brown and Company,|2017|2019-12-04 10:01:00|NULL|NULL
3|Girls in pants : the third summer of the Sisterhood|TEEN BRASHAR|Brashares, Ann.|MCR|NULL|2011|2019-09-23 11:45:31|Teen Fiction|NULL
12|The proximity principle : the proven strategy that will lead to the career you love|650.1 COLEMAN|Coleman, Ken (Radio talk show host), author.|MUK|NULL|2019|2020-02-15 10:43:20|Nonfiction|Book
7|Little superman|J CD OM ROS192|Roslonek, Steve.|MCR|NULL|2003|2019-11-07 13:06:22|Juvenile Compact Disc|NULL
5|McQueen|DVD-ED 746.9209 MCQUEEN|NULL|MAR|Vertical Entertainment,|2018|2020-02-06 18:20:03|NULL|NULL
1|Boys Over Flowers, Volume 18|eBOOK OVERDRI|Kamio, Yoko|PUBLIC|NULL|2006|2019-08-17 04:13:58|Ebook|NULL
8|One fish, two fish, red fish, blue fish|eBOOK OVERDRI|Seuss, Dr., author.|PUBLIC|NULL|1960|2020-01-28 08:07:22|Ebook|Electronic Resource
3|Sophie's squash|E MILLER|Miller, Pat Zietlow.|WHE|NULL|2013|2019-12-12 13:24:20|NULL|NULL
1|J. Neil Schulman's Alongside night|FIC SCHULMA|Schulman, J. Neil (Joseph Neil), 1953-|LSP|NULL|2009|2019-12-04 14:43:09|NULL|NULL
1|I believe in you|J CD OM PARTON|Parton, Dolly, composer, performer.|MON|NULL|2017|2019-11-05 10:59:43|NULL|NULL
6|Your first day of circus school|E LAZAR|Lazar, Tara, author.|MUK|NULL|2019|2020-02-12 14:52:07|Easy|Book
1|The red-haired woman|CD FIC PAMUK|Pamuk, Orhan, 1952- author.|MAR|NULL|2017|2019-09-15 15:52:24|Audiobook|NULL
1|The dinosaur expert|E MCNAMAR|McNamara, Margaret, author.|LSP|Schwartz & Wade Books,|2018|2019-09-26 08:11:59|Easy|Book
4|The Prehistoric Planet|eBOOK OVERDRI|O'Ryan, Ray|PUBLIC|NULL|2013|2020-02-06 11:17:48|Ebook|NULL
3|Big Bob, Little Bob|E HOWE|Howe, James, 1946- author.|LYN|Candlewick Press,|2016|2020-02-06 07:34:01|NULL|NULL
3|I'm not a supermouse!|eBOOK OVERDRI|Stilton, Geronimo, author.|PUBLIC|NULL|2010|2019-12-09 15:28:12|Ebook|NULL
6|The ruler of thumb|J DVD RULER O|NULL|LSP|NULL|2010|2020-02-07 13:06:19|Juvenile DVD|NULL
10|Wide-awake bear|E MILLER|Miller, Pat Zietlow, author.|SNO|NULL|2018|2020-02-02 12:13:17|NULL|NULL
7|Badlands|DVD BAD2245|NULL|LYN|NULL|2013|2020-01-31 12:16:53|DVD Drama|NULL
4|The knight at dawn|J OSBORNE|Osborne, Mary Pope.|MAR|NULL|1993|2019-11-25 08:13:19|Juvenile Fiction|Book
2|Olivia and the pet project|E FORTE|Forte, Lauren, author.|SNO|Simon Spotlight,|2015|2020-02-14 11:01:50|NULL|NULL
7|Cass Timberlane|DVD CASS TI|NULL|GRA|NULL|2010|2020-02-12 07:33:50|DVD Drama|NULL
1|The Way of the Gun|eAUDIO OVERDRI|Overton, Iain|PUBLIC|NULL|2020|2020-02-11 21:17:34|NULL|NULL
